rasn,prefix,as_path
546,1.2.0.0/16,"(546, 8987, 16509, 2152, 25)"
547,1.2.0.0/16,"(547, 7018, 3257, 10886, 27)"
549,1.2.0.0/16,"(549, 26677, 6939, 2152, 25)"
553,1.2.0.0/16,"(553, 42, 10886, 27)"
557,1.2.0.0/16,"(557, 1828, 11164, 2152, 25)"
558,1.2.0.0/16,"(558, 174, 10886, 27)"
559,1.2.0.0/16,"(559, 293, 10886, 27)"
565,1.2.0.0/16,"(565, 1741, 6939, 2152, 25)"
566,1.2.0.0/16,"(566, 376, 49544, 2152, 25)"
572,1.2.0.0/16,"(572, 701, 3257, 10886, 27)"
577,1.2.0.0/16,"(577, 174, 10886, 27)"
589,1.2.0.0/16,"(589, 7459, 14907, 2152, 25)"
596,1.2.0.0/16,"(596, 3356, 10886, 27)"
600,1.2.0.0/16,"(600, 14907, 2152, 25)"
603,1.2.0.0/16,"(603, 855, 6939, 2152, 25)"
609,1.2.0.0/16,"(609, 3356, 10886, 27)"
611,1.2.0.0/16,"(611, 855, 6939, 2152, 25)"
668,1.2.0.0/16,"(668, 49544, 2152, 25)"
675,1.2.0.0/16,"(675, 57, 6461, 10886, 27)"
676,1.2.0.0/16,"(676, 3549, 13335, 2152, 25)"
679,1.2.0.0/16,"(679, 1853, 2635, 2152, 25)"
680,1.2.0.0/16,"(680, 2635, 2152, 25)"
681,1.2.0.0/16,"(681, 38022, 293, 10886, 27)"
683,1.2.0.0/16,"(683, 293, 2516, 2152, 25)"
687,1.2.0.0/16,"(687, 668, 49544, 2152, 25)"
692,1.2.0.0/16,"(692, 3292, 293, 10886, 27)"
693,1.2.0.0/16,"(693, 174, 10886, 27)"
698,1.2.0.0/16,"(698, 40387, 293, 10886, 27)"
701,1.2.0.0/16,"(701, 3257, 10886, 27)"
702,1.2.0.0/16,"(702, 1299, 10886, 27)"
703,1.2.0.0/16,"(703, 49544, 2152, 25)"
714,1.2.0.0/16,"(714, 293, 10886, 27)"
715,1.2.0.0/16,"(715, 7922, 11164, 2152, 25)"
719,1.2.0.0/16,"(719, 42708, 42, 10886, 27)"
749,1.2.0.0/16,"(749, 3356, 10886, 27)"
760,1.2.0.0/16,"(760, 1853, 2635, 2152, 25)"
764,1.2.0.0/16,"(764, 1759, 6667, 42, 10886, 27)"
766,1.2.0.0/16,"(766, 6939, 2152, 25)"
773,1.2.0.0/16,"(773, 701, 3257, 10886, 27)"
775,1.2.0.0/16,"(775, 2200, 49544, 2152, 25)"
776,1.2.0.0/16,"(776, 2200, 49544, 2152, 25)"
777,1.2.0.0/16,"(777, 2200, 49544, 2152, 25)"
780,1.2.0.0/16,"(780, 22645, 6939, 2152, 25)"
784,1.2.0.0/16,"(784, 6461, 10886, 27)"
786,1.2.0.0/16,"(786, 49544, 2152, 25)"
789,1.2.0.0/16,"(789, 2200, 49544, 2152, 25)"
797,1.2.0.0/16,"(797, 7018, 3257, 10886, 27)"
801,1.2.0.0/16,"(801, 16509, 2152, 25)"
802,1.2.0.0/16,"(802, 26677, 6939, 2152, 25)"
803,1.2.0.0/16,"(803, 293, 10886, 27)"
805,1.2.0.0/16,"(805, 3356, 10886, 27)"
806,1.2.0.0/16,"(806, 376, 49544, 2152, 25)"
807,1.2.0.0/16,"(807, 29838, 293, 10886, 27)"
808,1.2.0.0/16,"(808, 852, 2635, 2152, 25)"
812,1.2.0.0/16,"(812, 14907, 2152, 25)"
819,1.2.0.0/16,"(819, 49544, 2152, 25)"
822,1.2.0.0/16,"(822, 812, 14907, 2152, 25)"
823,1.2.0.0/16,"(823, 13335, 2152, 25)"
824,1.2.0.0/16,"(824, 10753, 701, 174, 10886, 27)"
833,1.2.0.0/16,"(833, 400810, 14907, 2152, 25)"
834,1.2.0.0/16,"(834, 54825, 2152, 25)"
835,1.2.0.0/16,"(835, 293, 10886, 27)"
843,1.2.0.0/16,"(843, 55002, 11404, 293, 10886, 27)"
845,1.2.0.0/16,"(845, 286, 10886, 27)"
846,1.2.0.0/16,"(846, 7018, 3257, 10886, 27)"
852,1.2.0.0/16,"(852, 2635, 2152, 25)"
855,1.2.0.0/16,"(855, 6939, 2152, 25)"
857,1.2.0.0/16,"(857, 49544, 2152, 25)"
858,1.2.0.0/16,"(858, 852, 2635, 2152, 25)"
859,1.2.0.0/16,"(859, 852, 2635, 2152, 25)"
860,1.2.0.0/16,"(860, 852, 2635, 2152, 25)"
861,1.2.0.0/16,"(861, 852, 2635, 2152, 25)"
862,1.2.0.0/16,"(862, 852, 2635, 2152, 25)"
863,1.2.0.0/16,"(863, 852, 2635, 2152, 25)"
864,1.2.0.0/16,"(864, 852, 2635, 2152, 25)"
865,1.2.0.0/16,"(865, 852, 2635, 2152, 25)"
866,1.2.0.0/16,"(866, 852, 2635, 2152, 25)"
867,1.2.0.0/16,"(867, 852, 2635, 2152, 25)"
868,1.2.0.0/16,"(868, 852, 2635, 2152, 25)"
869,1.2.0.0/16,"(869, 852, 2635, 2152, 25)"
870,1.2.0.0/16,"(870, 852, 2635, 2152, 25)"
871,1.2.0.0/16,"(871, 852, 2635, 2152, 25)"
872,1.2.0.0/16,"(872, 852, 2635, 2152, 25)"
873,1.2.0.0/16,"(873, 852, 2635, 2152, 25)"
874,1.2.0.0/16,"(874, 852, 2635, 2152, 25)"
875,1.2.0.0/16,"(875, 852, 2635, 2152, 25)"
876,1.2.0.0/16,"(876, 852, 2635, 2152, 25)"
877,1.2.0.0/16,"(877, 852, 2635, 2152, 25)"
878,1.2.0.0/16,"(878, 852, 2635, 2152, 25)"
879,1.2.0.0/16,"(879, 852, 2635, 2152, 25)"
880,1.2.0.0/16,"(880, 852, 2635, 2152, 25)"
881,1.2.0.0/16,"(881, 852, 2635, 2152, 25)"
882,1.2.0.0/16,"(882, 852, 2635, 2152, 25)"
883,1.2.0.0/16,"(883, 852, 2635, 2152, 25)"
884,1.2.0.0/16,"(884, 852, 2635, 2152, 25)"
885,1.2.0.0/16,"(885, 852, 2635, 2152, 25)"
886,1.2.0.0/16,"(886, 21351, 6939, 2152, 25)"
889,1.2.0.0/16,"(889, 174, 10886, 27)"
892,1.2.0.0/16,"(892, 174, 10886, 27)"
893,1.2.0.0/16,"(893, 8298, 36236, 11164, 2152, 25)"
894,1.2.0.0/16,"(894, 6939, 2152, 25)"
897,1.2.0.0/16,"(897, 14907, 2152, 25)"
900,1.2.0.0/16,"(900, 6327, 2516, 2152, 25)"
901,1.2.0.0/16,"(901, 13536, 293, 10886, 27)"
902,1.2.0.0/16,"(902, 174, 10886, 27)"
903,1.2.0.0/16,"(903, 13760, 293, 10886, 27)"
906,1.2.0.0/16,"(906, 49544, 2152, 25)"
