asn,prefix,as_path
270881,1.2.0.0/16,"(267613, 174, 10886, 27)"
271696,1.2.0.0/16,"(266454, 3356, 2152, 25)"
270239,1.2.0.0/16,"(266454, 3356, 2152, 25)"
271096,1.2.0.0/16,"(268168, 3356, 2152, 25)"
263513,1.2.0.0/16,"(266428, 52468, 174, 10886, 27)"
271666,1.2.0.0/16,"(266409, 174, 10886, 27)"
271401,1.2.0.0/16,"(266409, 174, 10886, 27)"
271280,1.2.0.0/16,"(266409, 174, 10886, 27)"
269552,1.2.0.0/16,"(266409, 174, 10886, 27)"
268749,1.2.0.0/16,"(266409, 174, 10886, 27)"
268635,1.2.0.0/16,"(266409, 174, 10886, 27)"
264254,1.2.0.0/16,"(266400, 174, 10886, 27)"
269578,1.2.0.0/16,"(266389, 14840, 6762, 3257, 10886, 27)"
271342,1.2.0.0/16,"(266284, 271253, 6762, 3257, 10886, 27)"
265411,1.2.0.0/16,"(266284, 271253, 6762, 3257, 10886, 27)"
267951,1.2.0.0/16,"(266247, 3356, 2152, 25)"
61838,1.2.0.0/16,"(266247, 3356, 2152, 25)"
269706,1.2.0.0/16,"(266214, 1031, 174, 10886, 27)"
28227,1.2.0.0/16,"(266207, 3356, 2152, 25)"
273401,1.2.0.0/16,"(266201, 3356, 2152, 25)"
269577,1.2.0.0/16,"(266195, 269595, 61568, 174, 10886, 27)"
271336,1.2.0.0/16,"(266181, 28283, 6762, 3257, 10886, 27)"
267058,1.2.0.0/16,"(266181, 28283, 6762, 3257, 10886, 27)"
263476,1.2.0.0/16,"(266181, 28283, 6762, 3257, 10886, 27)"
268376,1.2.0.0/16,"(266167, 3356, 2152, 25)"
265974,1.2.0.0/16,"(266167, 3356, 2152, 25)"
263635,1.2.0.0/16,"(266167, 3356, 2152, 25)"
262562,1.2.0.0/16,"(266167, 3356, 2152, 25)"
270419,1.2.0.0/16,"(266166, 174, 10886, 27)"
267053,1.2.0.0/16,"(266129, 61568, 174, 10886, 27)"
269201,1.2.0.0/16,"(266094, 3356, 2152, 25)"
269696,1.2.0.0/16,"(266059, 22356, 6762, 3257, 10886, 27)"
269419,1.2.0.0/16,"(266040, 6057, 174, 10886, 27)"
266392,1.2.0.0/16,"(266649, 53087, 10429, 3356, 2152, 25)"
265920,1.2.0.0/16,"(266037, 28283, 6762, 3257, 10886, 27)"
264331,1.2.0.0/16,"(265975, 3356, 2152, 25)"
267523,1.2.0.0/16,"(265953, 10429, 3356, 2152, 25)"
269100,1.2.0.0/16,"(265949, 10429, 3356, 2152, 25)"
268768,1.2.0.0/16,"(265944, 53181, 3356, 2152, 25)"
271664,1.2.0.0/16,"(265937, 7195, 174, 10886, 27)"
271318,1.2.0.0/16,"(265937, 7195, 174, 10886, 27)"
267316,1.2.0.0/16,"(265937, 7195, 174, 10886, 27)"
271643,1.2.0.0/16,"(265936, 61832, 3356, 2152, 25)"
268237,1.2.0.0/16,"(268689, 3356, 2152, 25)"
271172,1.2.0.0/16,"(265914, 174, 10886, 27)"
266073,1.2.0.0/16,"(268314, 6057, 174, 10886, 27)"
262183,1.2.0.0/16,"(265864, 61512, 3356, 2152, 25)"
28120,1.2.0.0/16,"(266830, 6762, 3257, 10886, 27)"
263823,1.2.0.0/16,"(265828, 61599, 174, 10886, 27)"
272948,1.2.0.0/16,"(265691, 174, 10886, 27)"
